"STATISTIC","Statistic Label","TLIST(A1)","Year","C01912V02351","Type of Non Residential Building","C01921V02511","Type of Construction","UNIT","VALUE"
"BHA07C1","Planning Permissions Granted","2014","2014","200","All non residential buildings","1","New construction","Number","1055"
"BHA07C1","Planning Permissions Granted","2014","2014","200","All non residential buildings","2","Extensions","Number","1251"
"BHA07C1","Planning Permissions Granted","2014","2014","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1192"
"BHA07C1","Planning Permissions Granted","2014","2014","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","825"
"BHA07C1","Planning Permissions Granted","2014","2014","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","586"
"BHA07C1","Planning Permissions Granted","2014","2014","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","211"
"BHA07C1","Planning Permissions Granted","2014","2014","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","28"
"BHA07C1","Planning Permissions Granted","2014","2014","202","Buildings for mining, energy and water","-","All types of construction","Number","82"
"BHA07C1","Planning Permissions Granted","2014","2014","202","Buildings for mining, energy and water","1","New construction","Number","60"
"BHA07C1","Planning Permissions Granted","2014","2014","202","Buildings for mining, energy and water","2","Extensions","Number","15"
"BHA07C1","Planning Permissions Granted","2014","2014","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","7"
"BHA07C1","Planning Permissions Granted","2014","2014","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","270"
"BHA07C1","Planning Permissions Granted","2014","2014","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","61"
"BHA07C1","Planning Permissions Granted","2014","2014","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","143"
"BHA07C1","Planning Permissions Granted","2014","2014","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","66"
"BHA07C1","Planning Permissions Granted","2014","2014","204","Hotels, restaurants and cafes","-","All types of construction","Number","355"
"BHA07C1","Planning Permissions Granted","2014","2014","204","Hotels, restaurants and cafes","1","New construction","Number","17"
"BHA07C1","Planning Permissions Granted","2014","2014","204","Hotels, restaurants and cafes","2","Extensions","Number","83"
"BHA07C1","Planning Permissions Granted","2014","2014","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","255"
"BHA07C1","Planning Permissions Granted","2014","2014","205","Buildings for transport","-","All types of construction","Number","122"
"BHA07C1","Planning Permissions Granted","2014","2014","205","Buildings for transport","1","New construction","Number","51"
"BHA07C1","Planning Permissions Granted","2014","2014","205","Buildings for transport","2","Extensions","Number","37"
"BHA07C1","Planning Permissions Granted","2014","2014","205","Buildings for transport","3","Alteration, conversion and renovation","Number","34"
"BHA07C1","Planning Permissions Granted","2014","2014","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","488"
"BHA07C1","Planning Permissions Granted","2014","2014","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","77"
"BHA07C1","Planning Permissions Granted","2014","2014","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","131"
"BHA07C1","Planning Permissions Granted","2014","2014","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","280"
"BHA07C1","Planning Permissions Granted","2014","2014","207","Public administration and public buildings for special purposes","-","All types of construction","Number","32"
"BHA07C1","Planning Permissions Granted","2014","2014","207","Public administration and public buildings for special purposes","1","New construction","Number","2"
"BHA07C1","Planning Permissions Granted","2014","2014","207","Public administration and public buildings for special purposes","2","Extensions","Number","12"
"BHA07C1","Planning Permissions Granted","2014","2014","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","18"
"BHA07C1","Planning Permissions Granted","2014","2014","208","Buildings for health and welfare","-","All types of construction","Number","255"
"BHA07C1","Planning Permissions Granted","2014","2014","208","Buildings for health and welfare","1","New construction","Number","35"
"BHA07C1","Planning Permissions Granted","2014","2014","208","Buildings for health and welfare","2","Extensions","Number","99"
"BHA07C1","Planning Permissions Granted","2014","2014","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","121"
"BHA07C1","Planning Permissions Granted","2014","2014","209","Buildings for entertainment and recreation","-","All types of construction","Number","320"
"BHA07C1","Planning Permissions Granted","2014","2014","209","Buildings for entertainment and recreation","1","New construction","Number","82"
"BHA07C1","Planning Permissions Granted","2014","2014","209","Buildings for entertainment and recreation","2","Extensions","Number","129"
"BHA07C1","Planning Permissions Granted","2014","2014","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","109"
"BHA07C1","Planning Permissions Granted","2014","2014","210","Buildings for education, culture, science and research","-","All types of construction","Number","393"
"BHA07C1","Planning Permissions Granted","2014","2014","210","Buildings for education, culture, science and research","1","New construction","Number","28"
"BHA07C1","Planning Permissions Granted","2014","2014","210","Buildings for education, culture, science and research","2","Extensions","Number","301"
"BHA07C1","Planning Permissions Granted","2014","2014","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","64"
"BHA07C1","Planning Permissions Granted","2014","2014","211","Buildings for religious and funerary","-","All types of construction","Number","71"
"BHA07C1","Planning Permissions Granted","2014","2014","211","Buildings for religious and funerary","1","New construction","Number","7"
"BHA07C1","Planning Permissions Granted","2014","2014","211","Buildings for religious and funerary","2","Extensions","Number","24"
"BHA07C1","Planning Permissions Granted","2014","2014","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","40"
"BHA07C1","Planning Permissions Granted","2014","2014","212","Other non-residential buildings","-","All types of construction","Number","6"
"BHA07C1","Planning Permissions Granted","2014","2014","212","Other non-residential buildings","1","New construction","Number","3"
"BHA07C1","Planning Permissions Granted","2014","2014","212","Other non-residential buildings","2","Extensions","Number","1"
"BHA07C1","Planning Permissions Granted","2014","2014","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","2"
"BHA07C1","Planning Permissions Granted","2014","2014","213","Office development, buildings for financing and insurance","-","All types of construction","Number","174"
"BHA07C1","Planning Permissions Granted","2014","2014","213","Office development, buildings for financing and insurance","1","New construction","Number","33"
"BHA07C1","Planning Permissions Granted","2014","2014","213","Office development, buildings for financing and insurance","2","Extensions","Number","41"
"BHA07C1","Planning Permissions Granted","2014","2014","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","100"
"BHA07C1","Planning Permissions Granted","2014","2014","214","Creche","-","All types of construction","Number","105"
"BHA07C1","Planning Permissions Granted","2014","2014","214","Creche","1","New construction","Number","13"
"BHA07C1","Planning Permissions Granted","2014","2014","214","Creche","2","Extensions","Number","24"
"BHA07C1","Planning Permissions Granted","2014","2014","214","Creche","3","Alteration, conversion and renovation","Number","68"
"BHA07C1","Planning Permissions Granted","2015","2015","200","All non residential buildings","-","All types of construction","Number","4085"
"BHA07C1","Planning Permissions Granted","2015","2015","200","All non residential buildings","1","New construction","Number","1627"
"BHA07C1","Planning Permissions Granted","2015","2015","200","All non residential buildings","2","Extensions","Number","1363"
"BHA07C1","Planning Permissions Granted","2015","2015","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1095"
"BHA07C1","Planning Permissions Granted","2015","2015","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1314"
"BHA07C1","Planning Permissions Granted","2015","2015","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1029"
"BHA07C1","Planning Permissions Granted","2015","2015","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","263"
"BHA07C1","Planning Permissions Granted","2015","2015","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","22"
"BHA07C1","Planning Permissions Granted","2015","2015","202","Buildings for mining, energy and water","-","All types of construction","Number","89"
"BHA07C1","Planning Permissions Granted","2015","2015","202","Buildings for mining, energy and water","1","New construction","Number","69"
"BHA07C1","Planning Permissions Granted","2015","2015","202","Buildings for mining, energy and water","2","Extensions","Number","12"
"BHA07C1","Planning Permissions Granted","2015","2015","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","8"
"BHA07C1","Planning Permissions Granted","2015","2015","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","291"
"BHA07C1","Planning Permissions Granted","2015","2015","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","84"
"BHA07C1","Planning Permissions Granted","2015","2015","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","146"
"BHA07C1","Planning Permissions Granted","2015","2015","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","61"
"BHA07C1","Planning Permissions Granted","2015","2015","204","Hotels, restaurants and cafes","-","All types of construction","Number","406"
"BHA07C1","Planning Permissions Granted","2015","2015","204","Hotels, restaurants and cafes","1","New construction","Number","44"
"BHA07C1","Planning Permissions Granted","2015","2015","204","Hotels, restaurants and cafes","2","Extensions","Number","102"
"BHA07C1","Planning Permissions Granted","2015","2015","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","260"
"BHA07C1","Planning Permissions Granted","2015","2015","205","Buildings for transport","-","All types of construction","Number","119"
"BHA07C1","Planning Permissions Granted","2015","2015","205","Buildings for transport","1","New construction","Number","58"
"BHA07C1","Planning Permissions Granted","2015","2015","205","Buildings for transport","2","Extensions","Number","31"
"BHA07C1","Planning Permissions Granted","2015","2015","205","Buildings for transport","3","Alteration, conversion and renovation","Number","30"
"BHA07C1","Planning Permissions Granted","2015","2015","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","483"
"BHA07C1","Planning Permissions Granted","2015","2015","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","74"
"BHA07C1","Planning Permissions Granted","2015","2015","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","149"
"BHA07C1","Planning Permissions Granted","2015","2015","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","260"
"BHA07C1","Planning Permissions Granted","2015","2015","207","Public administration and public buildings for special purposes","-","All types of construction","Number","24"
"BHA07C1","Planning Permissions Granted","2015","2015","207","Public administration and public buildings for special purposes","1","New construction","Number","8"
"BHA07C1","Planning Permissions Granted","2015","2015","207","Public administration and public buildings for special purposes","2","Extensions","Number","7"
"BHA07C1","Planning Permissions Granted","2015","2015","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","9"
"BHA07C1","Planning Permissions Granted","2015","2015","208","Buildings for health and welfare","-","All types of construction","Number","252"
"BHA07C1","Planning Permissions Granted","2015","2015","208","Buildings for health and welfare","1","New construction","Number","34"
"BHA07C1","Planning Permissions Granted","2015","2015","208","Buildings for health and welfare","2","Extensions","Number","109"
"BHA07C1","Planning Permissions Granted","2015","2015","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","109"
"BHA07C1","Planning Permissions Granted","2015","2015","209","Buildings for entertainment and recreation","-","All types of construction","Number","280"
"BHA07C1","Planning Permissions Granted","2015","2015","209","Buildings for entertainment and recreation","1","New construction","Number","103"
"BHA07C1","Planning Permissions Granted","2015","2015","209","Buildings for entertainment and recreation","2","Extensions","Number","106"
"BHA07C1","Planning Permissions Granted","2015","2015","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","71"
"BHA07C1","Planning Permissions Granted","2015","2015","210","Buildings for education, culture, science and research","-","All types of construction","Number","427"
"BHA07C1","Planning Permissions Granted","2015","2015","210","Buildings for education, culture, science and research","1","New construction","Number","49"
"BHA07C1","Planning Permissions Granted","2015","2015","210","Buildings for education, culture, science and research","2","Extensions","Number","331"
"BHA07C1","Planning Permissions Granted","2015","2015","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","47"
"BHA07C1","Planning Permissions Granted","2015","2015","211","Buildings for religious and funerary","-","All types of construction","Number","51"
"BHA07C1","Planning Permissions Granted","2015","2015","211","Buildings for religious and funerary","1","New construction","Number","10"
"BHA07C1","Planning Permissions Granted","2015","2015","211","Buildings for religious and funerary","2","Extensions","Number","19"
"BHA07C1","Planning Permissions Granted","2015","2015","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","22"
"BHA07C1","Planning Permissions Granted","2015","2015","212","Other non-residential buildings","-","All types of construction","Number","5"
"BHA07C1","Planning Permissions Granted","2015","2015","212","Other non-residential buildings","1","New construction","Number","3"
"BHA07C1","Planning Permissions Granted","2015","2015","212","Other non-residential buildings","2","Extensions","Number","1"
"BHA07C1","Planning Permissions Granted","2015","2015","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","1"
"BHA07C1","Planning Permissions Granted","2015","2015","213","Office development, buildings for financing and insurance","-","All types of construction","Number","263"
"BHA07C1","Planning Permissions Granted","2015","2015","213","Office development, buildings for financing and insurance","1","New construction","Number","43"
"BHA07C1","Planning Permissions Granted","2015","2015","213","Office development, buildings for financing and insurance","2","Extensions","Number","66"
"BHA07C1","Planning Permissions Granted","2015","2015","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","154"
"BHA07C1","Planning Permissions Granted","2015","2015","214","Creche","-","All types of construction","Number","81"
"BHA07C1","Planning Permissions Granted","2015","2015","214","Creche","1","New construction","Number","19"
"BHA07C1","Planning Permissions Granted","2015","2015","214","Creche","2","Extensions","Number","21"
"BHA07C1","Planning Permissions Granted","2015","2015","214","Creche","3","Alteration, conversion and renovation","Number","41"
"BHA07C1","Planning Permissions Granted","2016","2016","200","All non residential buildings","-","All types of construction","Number","5142"
"BHA07C1","Planning Permissions Granted","2016","2016","200","All non residential buildings","1","New construction","Number","2484"
"BHA07C1","Planning Permissions Granted","2016","2016","200","All non residential buildings","2","Extensions","Number","1460"
"BHA07C1","Planning Permissions Granted","2016","2016","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1198"
"BHA07C1","Planning Permissions Granted","2016","2016","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","2084"
"BHA07C1","Planning Permissions Granted","2016","2016","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1741"
"BHA07C1","Planning Permissions Granted","2016","2016","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","315"
"BHA07C1","Planning Permissions Granted","2016","2016","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","28"
"BHA07C1","Planning Permissions Granted","2016","2016","202","Buildings for mining, energy and water","-","All types of construction","Number","155"
"BHA07C1","Planning Permissions Granted","2016","2016","202","Buildings for mining, energy and water","1","New construction","Number","140"
"BHA07C1","Planning Permissions Granted","2016","2016","202","Buildings for mining, energy and water","2","Extensions","Number","10"
"BHA07C1","Planning Permissions Granted","2016","2016","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","5"
"BHA07C1","Planning Permissions Granted","2016","2016","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","341"
"BHA07C1","Planning Permissions Granted","2016","2016","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","87"
"BHA07C1","Planning Permissions Granted","2016","2016","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","175"
"BHA07C1","Planning Permissions Granted","2016","2016","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","79"
"BHA07C1","Planning Permissions Granted","2016","2016","204","Hotels, restaurants and cafes","-","All types of construction","Number","466"
"BHA07C1","Planning Permissions Granted","2016","2016","204","Hotels, restaurants and cafes","1","New construction","Number","52"
"BHA07C1","Planning Permissions Granted","2016","2016","204","Hotels, restaurants and cafes","2","Extensions","Number","137"
"BHA07C1","Planning Permissions Granted","2016","2016","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","277"
"BHA07C1","Planning Permissions Granted","2016","2016","205","Buildings for transport","-","All types of construction","Number","126"
"BHA07C1","Planning Permissions Granted","2016","2016","205","Buildings for transport","1","New construction","Number","67"
"BHA07C1","Planning Permissions Granted","2016","2016","205","Buildings for transport","2","Extensions","Number","31"
"BHA07C1","Planning Permissions Granted","2016","2016","205","Buildings for transport","3","Alteration, conversion and renovation","Number","28"
"BHA07C1","Planning Permissions Granted","2016","2016","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","526"
"BHA07C1","Planning Permissions Granted","2016","2016","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","111"
"BHA07C1","Planning Permissions Granted","2016","2016","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","157"
"BHA07C1","Planning Permissions Granted","2016","2016","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","258"
"BHA07C1","Planning Permissions Granted","2016","2016","207","Public administration and public buildings for special purposes","-","All types of construction","Number","29"
"BHA07C1","Planning Permissions Granted","2016","2016","207","Public administration and public buildings for special purposes","1","New construction","Number","8"
"BHA07C1","Planning Permissions Granted","2016","2016","207","Public administration and public buildings for special purposes","2","Extensions","Number","11"
"BHA07C1","Planning Permissions Granted","2016","2016","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","10"
"BHA07C1","Planning Permissions Granted","2016","2016","208","Buildings for health and welfare","-","All types of construction","Number","264"
"BHA07C1","Planning Permissions Granted","2016","2016","208","Buildings for health and welfare","1","New construction","Number","35"
"BHA07C1","Planning Permissions Granted","2016","2016","208","Buildings for health and welfare","2","Extensions","Number","116"
"BHA07C1","Planning Permissions Granted","2016","2016","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","113"
"BHA07C1","Planning Permissions Granted","2016","2016","209","Buildings for entertainment and recreation","-","All types of construction","Number","282"
"BHA07C1","Planning Permissions Granted","2016","2016","209","Buildings for entertainment and recreation","1","New construction","Number","93"
"BHA07C1","Planning Permissions Granted","2016","2016","209","Buildings for entertainment and recreation","2","Extensions","Number","107"
"BHA07C1","Planning Permissions Granted","2016","2016","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","82"
"BHA07C1","Planning Permissions Granted","2016","2016","210","Buildings for education, culture, science and research","-","All types of construction","Number","352"
"BHA07C1","Planning Permissions Granted","2016","2016","210","Buildings for education, culture, science and research","1","New construction","Number","51"
"BHA07C1","Planning Permissions Granted","2016","2016","210","Buildings for education, culture, science and research","2","Extensions","Number","260"
"BHA07C1","Planning Permissions Granted","2016","2016","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","41"
"BHA07C1","Planning Permissions Granted","2016","2016","211","Buildings for religious and funerary","-","All types of construction","Number","58"
"BHA07C1","Planning Permissions Granted","2016","2016","211","Buildings for religious and funerary","1","New construction","Number","5"
"BHA07C1","Planning Permissions Granted","2016","2016","211","Buildings for religious and funerary","2","Extensions","Number","21"
"BHA07C1","Planning Permissions Granted","2016","2016","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","32"
"BHA07C1","Planning Permissions Granted","2016","2016","212","Other non-residential buildings","-","All types of construction","Number","5"
"BHA07C1","Planning Permissions Granted","2016","2016","212","Other non-residential buildings","1","New construction","Number","4"
"BHA07C1","Planning Permissions Granted","2016","2016","212","Other non-residential buildings","2","Extensions","Number",""
"BHA07C1","Planning Permissions Granted","2016","2016","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","1"
"BHA07C1","Planning Permissions Granted","2016","2016","213","Office development, buildings for financing and insurance","-","All types of construction","Number","315"
"BHA07C1","Planning Permissions Granted","2016","2016","213","Office development, buildings for financing and insurance","1","New construction","Number","63"
"BHA07C1","Planning Permissions Granted","2016","2016","213","Office development, buildings for financing and insurance","2","Extensions","Number","63"
"BHA07C1","Planning Permissions Granted","2016","2016","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","189"
"BHA07C1","Planning Permissions Granted","2016","2016","214","Creche","-","All types of construction","Number","139"
"BHA07C1","Planning Permissions Granted","2016","2016","214","Creche","1","New construction","Number","27"
"BHA07C1","Planning Permissions Granted","2016","2016","214","Creche","2","Extensions","Number","57"
"BHA07C1","Planning Permissions Granted","2016","2016","214","Creche","3","Alteration, conversion and renovation","Number","55"
"BHA07C1","Planning Permissions Granted","2017","2017","200","All non residential buildings","-","All types of construction","Number","5228"
"BHA07C1","Planning Permissions Granted","2017","2017","200","All non residential buildings","1","New construction","Number","2239"
"BHA07C1","Planning Permissions Granted","2017","2017","200","All non residential buildings","2","Extensions","Number","1435"
"BHA07C1","Planning Permissions Granted","2017","2017","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1554"
"BHA07C1","Planning Permissions Granted","2017","2017","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1534"
"BHA07C1","Planning Permissions Granted","2017","2017","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1297"
"BHA07C1","Planning Permissions Granted","2017","2017","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","198"
"BHA07C1","Planning Permissions Granted","2017","2017","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","39"
"BHA07C1","Planning Permissions Granted","2017","2017","202","Buildings for mining, energy and water","-","All types of construction","Number","187"
"BHA07C1","Planning Permissions Granted","2017","2017","202","Buildings for mining, energy and water","1","New construction","Number","168"
"BHA07C1","Planning Permissions Granted","2017","2017","202","Buildings for mining, energy and water","2","Extensions","Number","11"
"BHA07C1","Planning Permissions Granted","2017","2017","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","8"
"BHA07C1","Planning Permissions Granted","2017","2017","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","385"
"BHA07C1","Planning Permissions Granted","2017","2017","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","116"
"BHA07C1","Planning Permissions Granted","2017","2017","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","167"
"BHA07C1","Planning Permissions Granted","2017","2017","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","102"
"BHA07C1","Planning Permissions Granted","2017","2017","204","Hotels, restaurants and cafes","-","All types of construction","Number","640"
"BHA07C1","Planning Permissions Granted","2017","2017","204","Hotels, restaurants and cafes","1","New construction","Number","89"
"BHA07C1","Planning Permissions Granted","2017","2017","204","Hotels, restaurants and cafes","2","Extensions","Number","157"
"BHA07C1","Planning Permissions Granted","2017","2017","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","394"
"BHA07C1","Planning Permissions Granted","2017","2017","205","Buildings for transport","-","All types of construction","Number","135"
"BHA07C1","Planning Permissions Granted","2017","2017","205","Buildings for transport","1","New construction","Number","85"
"BHA07C1","Planning Permissions Granted","2017","2017","205","Buildings for transport","2","Extensions","Number","23"
"BHA07C1","Planning Permissions Granted","2017","2017","205","Buildings for transport","3","Alteration, conversion and renovation","Number","27"
"BHA07C1","Planning Permissions Granted","2017","2017","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","607"
"BHA07C1","Planning Permissions Granted","2017","2017","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","123"
"BHA07C1","Planning Permissions Granted","2017","2017","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","168"
"BHA07C1","Planning Permissions Granted","2017","2017","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","316"
"BHA07C1","Planning Permissions Granted","2017","2017","207","Public administration and public buildings for special purposes","-","All types of construction","Number","27"
"BHA07C1","Planning Permissions Granted","2017","2017","207","Public administration and public buildings for special purposes","1","New construction","Number","9"
"BHA07C1","Planning Permissions Granted","2017","2017","207","Public administration and public buildings for special purposes","2","Extensions","Number","9"
"BHA07C1","Planning Permissions Granted","2017","2017","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","9"
"BHA07C1","Planning Permissions Granted","2017","2017","208","Buildings for health and welfare","-","All types of construction","Number","252"
"BHA07C1","Planning Permissions Granted","2017","2017","208","Buildings for health and welfare","1","New construction","Number","37"
"BHA07C1","Planning Permissions Granted","2017","2017","208","Buildings for health and welfare","2","Extensions","Number","74"
"BHA07C1","Planning Permissions Granted","2017","2017","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","141"
"BHA07C1","Planning Permissions Granted","2017","2017","209","Buildings for entertainment and recreation","-","All types of construction","Number","435"
"BHA07C1","Planning Permissions Granted","2017","2017","209","Buildings for entertainment and recreation","1","New construction","Number","125"
"BHA07C1","Planning Permissions Granted","2017","2017","209","Buildings for entertainment and recreation","2","Extensions","Number","163"
"BHA07C1","Planning Permissions Granted","2017","2017","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","147"
"BHA07C1","Planning Permissions Granted","2017","2017","210","Buildings for education, culture, science and research","-","All types of construction","Number","382"
"BHA07C1","Planning Permissions Granted","2017","2017","210","Buildings for education, culture, science and research","1","New construction","Number","45"
"BHA07C1","Planning Permissions Granted","2017","2017","210","Buildings for education, culture, science and research","2","Extensions","Number","283"
"BHA07C1","Planning Permissions Granted","2017","2017","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","54"
"BHA07C1","Planning Permissions Granted","2017","2017","211","Buildings for religious and funerary","-","All types of construction","Number","57"
"BHA07C1","Planning Permissions Granted","2017","2017","211","Buildings for religious and funerary","1","New construction","Number","6"
"BHA07C1","Planning Permissions Granted","2017","2017","211","Buildings for religious and funerary","2","Extensions","Number","20"
"BHA07C1","Planning Permissions Granted","2017","2017","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","31"
"BHA07C1","Planning Permissions Granted","2017","2017","212","Other non-residential buildings","-","All types of construction","Number","2"
"BHA07C1","Planning Permissions Granted","2017","2017","212","Other non-residential buildings","1","New construction","Number","2"
"BHA07C1","Planning Permissions Granted","2017","2017","212","Other non-residential buildings","2","Extensions","Number",""
"BHA07C1","Planning Permissions Granted","2017","2017","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number",""
"BHA07C1","Planning Permissions Granted","2017","2017","213","Office development, buildings for financing and insurance","-","All types of construction","Number","378"
"BHA07C1","Planning Permissions Granted","2017","2017","213","Office development, buildings for financing and insurance","1","New construction","Number","80"
"BHA07C1","Planning Permissions Granted","2017","2017","213","Office development, buildings for financing and insurance","2","Extensions","Number","100"
"BHA07C1","Planning Permissions Granted","2017","2017","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","198"
"BHA07C1","Planning Permissions Granted","2017","2017","214","Creche","-","All types of construction","Number","207"
"BHA07C1","Planning Permissions Granted","2017","2017","214","Creche","1","New construction","Number","57"
"BHA07C1","Planning Permissions Granted","2017","2017","214","Creche","2","Extensions","Number","62"
"BHA07C1","Planning Permissions Granted","2017","2017","214","Creche","3","Alteration, conversion and renovation","Number","88"
"BHA07C1","Planning Permissions Granted","2018","2018","200","All non residential buildings","-","All types of construction","Number","5291"
"BHA07C1","Planning Permissions Granted","2018","2018","200","All non residential buildings","1","New construction","Number","2326"
"BHA07C1","Planning Permissions Granted","2018","2018","200","All non residential buildings","2","Extensions","Number","1354"
"BHA07C1","Planning Permissions Granted","2018","2018","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1611"
"BHA07C1","Planning Permissions Granted","2018","2018","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1547"
"BHA07C1","Planning Permissions Granted","2018","2018","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1337"
"BHA07C1","Planning Permissions Granted","2018","2018","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","184"
